DR Number,Date Occurred,Time Occurred,latitude,longitude
120112791,2012-05-27,1755,34.0511,-118.2381
120107757,2012-03-08,1700,34.0328,-118.2647
120113988,2012-06-14,2345,34.0433,-118.2381
120109767,2012-04-10,1850,34.0504,-118.2409
120111743,2012-05-11,935,34.0412,-118.2436
120109014,2012-03-29,1900,34.0342,-118.2636
120108091,2012-03-14,1350,34.0522,-118.2434
120111027,2012-04-30,1305,34.0568,-118.2426
120107994,2012-03-13,15,34.0537,-118.2558
120107650,2012-03-06,1135,34.051,-118.2445
120114746,2012-06-27,720,34.0635,-118.2426
120110326,2012-04-20,1030,34.0382,-118.2384
120109490,2012-04-05,2240,34.0437,-118.2652
120109414,2012-04-03,2359,34.0502,-118.2336
120107320,2012-03-01,1105,34.0488,-118.2518
120112242,2012-05-19,150,34.0607,-118.2494
120112277,2012-05-20,2331,34.0563,-118.2309
120109942,2012-04-13,1445,34.035,-118.2386
120113080,2012-05-31,1500,34.043,-118.2606
120110041,2012-04-15,230,34.043,-118.2341
120112523,2012-05-23,1200,34.0349,-118.263
120109316,2012-04-04,925,34.0419,-118.2485
120118960,2012-04-01,2124,34.0459,-118.2657
120111396,2012-05-05,1000,34.0373,-118.2503
120110618,2012-04-24,830,34.072,-118.2508
120114186,2012-05-29,1600,34.0517,-118.2491
120112643,2012-05-25,1300,34.0523,-118.2536
120112346,2012-05-21,1015,34.0613,-118.2352
120110798,2012-04-27,650,34.0449,-118.2458
120108761,2012-03-26,1210,34.0511,-118.2381
120107479,2012-03-04,1435,34.0633,-118.229
120112220,2012-05-18,2125,34.0503,-118.247
120312205,2012-05-08,1255,34.0344,-118.3696
120110017,2012-04-13,1000,34.0366,-118.2602
120114340,2012-06-20,1920,34.0601,-118.2386
120113404,2012-06-07,125,34.0682,-118.2502
120111829,2012-05-13,2340,34.0435,-118.2471
120110435,2012-04-21,1715,34.0582,-118.2465
120108345,2012-03-17,1700,34.0495,-118.2563
120108498,2012-03-21,1550,34.065,-118.2384
120113504,2012-06-08,20,34.0474,-118.2496
120110815,2012-04-27,1245,34.0458,-118.2614
120109843,2012-03-24,310,34.0459,-118.2657
120114495,2012-06-22,2040,34.0461,-118.2476
120114639,2012-06-25,1225,34.0488,-118.2553
120113879,2012-06-13,1300,34.0444,-118.2628
120110595,2012-04-24,1205,34.0392,-118.2343
120112976,2012-05-30,1620,34.0627,-118.2463
120110934,2012-04-29,25,34.0467,-118.2556
120111307,2012-05-04,15,34.0352,-118.2654
120114772,2012-06-27,1715,34.0646,-118.2372
120112734,2012-05-26,1500,34.0389,-118.255
120112115,2012-05-17,705,34.0384,-118.2305
120107949,2012-03-12,820,34.0396,-118.2558
120112887,2012-05-29,825,34.0516,-118.2526
120107790,2012-03-08,1820,34.0527,-118.2398
120112906,2012-05-29,1545,34.0461,-118.2476
120109211,2012-04-02,1330,34.0479,-118.2612
120108241,2012-03-17,30,34.0509,-118.2585
120113317,2012-06-02,1200,34.0407,-118.268
120109145,2012-04-01,1800,34.0345,-118.266
120107621,2012-03-06,1540,34.0437,-118.2617
120108096,2012-03-14,1415,34.0452,-118.2569
120112498,2012-05-23,625,34.0626,-118.2445
120114105,2012-06-17,10,34.0531,-118.2478
120108263,2012-03-17,540,34.0439,-118.2399
120109516,2012-04-06,1420,34.0537,-118.2558
120111363,2012-05-05,120,34.0488,-118.2483
120108730,2012-03-25,1235,34.0462,-118.2628
120113024,2012-05-31,1710,34.0644,-118.2387
120110289,2012-04-19,1705,34.0582,-118.2465
120114663,2012-06-25,1725,34.0444,-118.2593
120109883,2012-04-12,1500,34.0485,-118.2447
120108309,2012-03-17,700,34.0462,-118.2628
120109925,2012-04-13,1400,34.0527,-118.2398
120111243,2012-05-03,1115,34.0417,-118.2398
120114281,2012-06-13,1230,34.0566,-118.2319
120108571,2012-03-22,1420,34.039,-118.24
120112171,2012-05-18,30,34.0473,-118.2566
120110716,2012-04-11,1200,34.0357,-118.2563
120113348,2012-06-05,1030,34.0522,-118.2342
120108290,2012-03-18,45,34.0342,-118.2673
120112875,2012-05-29,830,34.0349,-118.2386
120112265,2012-05-19,2250,34.0459,-118.2657
120111783,2012-05-11,2020,34.0445,-118.2523
